iter	Passed	Remaining
1095	17911	6602
1096	17923	6584
1097	17934	6566
1098	17945	6548
1099	17957	6530
1100	17968	6511
1101	17982	6494
1102	17995	6477
1103	18008	6459
1104	18020	6441
1105	18032	6423
1106	18045	6406
1107	18057	6388
1108	18067	6370
1109	18079	6352
1110	18092	6334
1111	18105	6317
1112	18118	6299
1113	18130	6282
1114	18143	6264
1115	18157	6247
1116	18170	6230
1117	18182	6212
1118	18194	6194
1119	18207	6177
1120	18221	6160
1121	18235	6143
1122	18248	6126
1123	18261	6108
1124	18275	6091
1125	18287	6074
1126	18300	6056
1127	18315	6040
1128	18328	6022
1129	18343	6006
1130	18359	5989
1131	18372	5972
1132	18386	5955
1133	18403	5939
1134	18416	5922
1135	18427	5904
1136	18441	5887
1137	18455	5870
1138	18471	5854
1139	18486	5837
1140	18502	5821
1141	18522	5806
1142	18544	5792
1143	18565	5777
1144	18578	5760
1145	18591	5742
1146	18604	5725
1147	18617	5708
1148	18629	5691
1149	18644	5674
1150	18661	5658
1151	18673	5640
1152	18689	5624
1153	18705	5608
1154	18719	5591
1155	18731	5574
1156	18747	5557
1157	18763	5541
1158	18778	5524
1159	18790	5507
1160	18804	5490
1161	18818	5473
1162	18833	5457
1163	18851	5441
1164	18864	5424
1165	18879	5407
1166	18892	5390
1167	18905	5373
1168	18917	5356
1169	18930	5339
1170	18944	5322
1171	18959	5305
1172	18972	5288
1173	18985	5272
1174	18998	5254
1175	19011	5237
1176	19024	5220
1177	19043	5205
1178	19057	5188
1179	19070	5171
1180	19083	5154
1181	19097	5137
1182	19110	5120
1183	19123	5103
1184	19137	5087
1185	19148	5069
1186	19163	5053
1187	19178	5036
1188	19191	5019
1189	19205	5003
1190	19221	4986
1191	19235	4970
1192	19248	4953
1193	19262	4936
1194	19276	4919
1195	19291	4903
1196	19306	4887
1197	19321	4870
1198	19336	4854
1199	19353	4838
1200	19369	4822
1201	19385	4806
1202	19402	4790
1203	19418	4774
1204	19435	4758
1205	19454	4742
1206	19470	4726
1207	19488	4710
1208	19514	4696
1209	19542	4683
1210	19557	4667
1211	19573	4651
1212	19589	4634
1213	19605	4618
1214	19622	4602
1215	19640	4587
1216	19654	4570
1217	19673	4554
1218	19686	4538
1219	19701	4521
1220	19714	4504
1221	19728	4488
1222	19742	4471
1223	19756	4454
1224	19769	4437
1225	19783	4421
1226	19797	4404
1227	19811	4388
1228	19825	4371
1229	19840	4355
1230	19855	4338
1231	19870	4322
1232	19883	4305
1233	19896	4288
1234	19910	4272
1235	19922	4255
1236	19935	4238
1237	19948	4221
1238	19962	4205
1239	19974	4188
1240	19987	4171
